News,Headings
اسلام آباد میں مقیم سرکاری ادارے میں کام کرنے والے عامر حسین کا مئی 2023 کا بجلی کا بل 30000 روپے تک آیا ۔ مئی کے مہینے میں انھوں نے اے سی بھی چلایا جس کی وجہ سے یہ بل آیا ورنہ اس سے پہلے ان کا بل 20 ہزار سے کم آ رہا تھا۔,پاکستان
تاہم جب جولائی میں ان کا جون کے مہینے کا بل آیا تو ان کے بل میں بے پناہ اضافہ ہوا تھا اور یہ بل 50 ہزار سے زیادہ تھا۔  عامر کے مطابق جون کے مہینے کا بل اتنا زیادہ آنا ان کے لیے حیران کن تھا تاہم ایک مہینے کا یہ بل انھوں نے ادا کر دیا تاہم اگلے مہینے اگست میں جب ان کا جولائی کا بجلی کا بل آیا تو یہ بھی جون کے بل کے برابر تھا۔,پاکستان
عامر نے اس سلسلے میں اسلام آباد الیکٹرک سپلائی کمپنی سے رابطہ کیا اور بل میں اس قدر زیادہ اضافے پر پوچھا تو انھوں نے کہا کہ بجلی کا بل ان کے گھر میں بجلی کی کھپت کے مطابق ہے اور انھیں یہ ادا کرنا پڑے گا۔ عامر نے بتایا کہ انھیں یہ بل ادا کرنا پڑا ورنہ ان کا بجلی کا کنکشن کاٹ دیا جاتا۔,پاکستان
پنجاب کے ضلع میانوالی کے ایک گاؤں میں رہائش پذیر محمد اقبال طاہر کو بھی اس قسم کی صورت حال کا سامنا کرنا پڑا۔ وہ بتاتے ہیں کہ ان کا بجلی کا بل عموماً پانچ ہزار سے کم آتا ہے تاہم جون اور جولائی کے مہینے میں ان کے بجلی کے بل میں بے پناہ اضافہ ہوا اور دونوں مہینوں میں ان کا بجلی کا بل 15 ہزار روپے سے زیادہ آیا۔ ان کے لیے بجلی کا یہ اضافی بل بہت پریشان کن تھا کیونکہ ان کی محدود آمدنی میں اس قدر زیادہ بل کی ادائیگی مشکل تھی۔,پاکستان
اس سلسلے میں انھوں نے میانوالی شہر میں فیصل آباد الیکٹرک سپلائی کمپنی کے دفتر سے رابطہ کیا اور اس اضافی بل کے بارے میں شکایت کی تو انھیں کہا گیا کہ ان کا بل بالکل ٹھیک ہے اور صرف شدہ یونٹوں کے مطابق ہے۔ اقبال نے اس سلسلے میں بتایا کہ وہ دو تین دن تو بجلی کمپنی کے دفتر کا چکر لگاتے رہے تاہم کوئی شنوائی نہ ہونے پر انھیں آخر کار یہ بل ادا کرنا پڑا کیونکہ انھیں اپنے بجلی کے میٹر کے کنکشن کے کٹنے کا خطرہ تھا۔,پاکستان
عامر حسین اور اقبال طاہر ہی صرف رواں سال جون اور جولائی کے مہینے میں بجلی کے بلوں میں بے پناہ اضافے سے پریشان ہونے والے افراد نہیں بلکہ پاکستان میں لاکھوں بجلی کے صارفین کے بل بہت زیادہ آئے اور انھیں ان اضافی بلوں کی ادائیگی کرنا پڑی۔ ,پاکستان
بجلی کے بلوں میں اضافے کی وجہ ایک تو بجلی کی زیادہ قیمت تھی تاہم اس کے ساتھ بجلی صارفین کے ساتھ بجلی کی تقسیم کار کمپنیوں نے بھی ہاتھ کیا جس کی وجہ سے یہ بل بہت زیادہ آئے۔,پاکستان
بجلی کے بلوں میں بجلی کی ان تقسیم کار کمپنیوں نے صارفین سے بجلی کی اضافی قیمت کیسے  وصول کی اس کے بارے میں بجلی کے شعبے کے ریگولیٹری ادارے نینشل الیکٹرک پاور ریگولیٹری اتھارٹی (نیپرا ) کی انکوائری میں تصدیق کی گئی کہ بجلی صارفین سے غلط طریقے سے زیادہ بل وصول کیے گئے۔ ,پاکستان
نیپرا کے مطابق بجلی تقسیم کار کمپنیاں غیر قانونی اور ناجائز طریقے سے صارفین سے بجلی کے بل وصول کرنے کی مرتکب پائی گئی ہیں جو نیپرا ایکٹ کی خلاف ورزی ہے۔,پاکستان
نیپرا کی جانب سے کی جانے والی انکوائری کی رپورٹ میں کہا گیا ہے صارفین کی جانب سے اس سال جولائی اور اگست میں موصول ہونے والے بجلی کے بلوں میں بے پناہ اضافے کی شکایات سامنے آنے کے بعد ادارے نے اس سلسلے میں تحقیقات کیں جس میں یہ انکشاف ہوا کہ بجلی کی تقسیم کار کمپنیوں کی جانب سے ماہانہ یونٹ کی ریڈنگ جو 30 دن کی ہوتی ہے وہ ایک مہینے سے زیادہ کی ریڈنگ پر مشتمل تھی جو بجلی کے بلوں میں اضافے کی ایک وجہ بنی کیونکہ ایک مہینے سے زائد کی ریڈنگ لینے کی وجہ سے صارفین کے بجلی کے بل نیچے سے اوپر والی سلیب میں چلے گئے جس میں فی یونٹ کی قیمت زیادہ تھی۔,پاکستان
